model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
content,default,temporal,mean_popularity,10.0,65.41523178807947,906,0,20260903,20260904T070002,1788485406
content,default,temporal,popularity_percentile,10.0,0.6168359461559391,906,0,20260903,20260904T070002,1788485406
content,default,temporal,gini,10.0,0.8358867514629104,906,0,20260903,20260904T070002,1788485406
content,default,temporal,precision_at_k,20.0,0.019315673289183224,906,0,20260903,20260904T070002,1788485406
content,default,temporal,recall_at_k,20.0,0.03455610709596162,906,0,20260903,20260904T070002,1788485406
content,default,temporal,coverage,20.0,0.6012698412698413,906,0,20260903,20260904T070002,1788485406
content,default,temporal,mean_popularity,20.0,60.81777041942605,906,0,20260903,20260904T070002,1788485406
content,default,temporal,popularity_percentile,20.0,0.5949700009256378,906,0,20260903,20260904T070002,1788485406
content,default,temporal,gini,20.0,0.7906115140684677,906,0,20260903,20260904T070002,1788485406
item_knn,default,temporal,rmse,,1.0171153028578046,943,20000,20260903,20260904T070002,1788485427
item_knn,default,temporal,mae,,0.7992635289648659,943,20000,20260903,20260904T070002,1788485427
item_knn,default,temporal,precision_at_k,5.0,0.03642384105960265,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,recall_at_k,5.0,0.013286630708870135,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,coverage,5.0,0.25015873015873014,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,mean_popularity,5.0,103.00618101545254,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,popularity_percentile,5.0,0.6569135314197879,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,gini,5.0,0.9294842846630926,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,precision_at_k,10.0,0.036203090507726264,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,recall_at_k,10.0,0.026244214544163508,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,coverage,10.0,0.34095238095238095,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,mean_popularity,10.0,103.29028697571744,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,popularity_percentile,10.0,0.6708507591631113,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,gini,10.0,0.9114879988787273,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,precision_at_k,20.0,0.032671081677704196,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,recall_at_k,20.0,0.05019616850788483,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,coverage,20.0,0.4533333333333333,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,mean_popularity,20.0,100.93543046357615,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,popularity_percentile,20.0,0.6747942209356794,906,0,20260903,20260904T070002,1788485427
item_knn,default,temporal,gini,20.0,0.8876625670135604,906,0,20260903,20260904T070002,1788485427
mf,default,temporal,rmse,,0.9962257503964356,943,20000,20260903,20260904T070002,1788485448
