kind,model_a,model_b,metric,difference,lower,upper,excludes_zero
difference,item_knn,item_mean,precision_at_10,-0.007755497048798027,-0.011564514835020566,-0.0038586631540772605,True
difference,item_knn,mf,precision_at_10,0.008981826480436399,0.005004594877310335,0.013029078248608932,True
difference,item_knn,mf_ranking,precision_at_10,-0.00954360022278935,-0.014176153562200073,-0.005262440452275724,True
difference,item_knn,most_popular,precision_at_10,-0.030005579527187385,-0.03658870045731707,-0.023428248640819084,True
difference,item_knn,user_mean,precision_at_10,0.0123684331783072,0.00740669358786099,0.017268438079313726,True
difference,item_knn_ranking,item_mean,precision_at_10,0.001997320142534632,-0.0022221450623893424,0.006519337016574575,False
difference,item_knn_ranking,mf,precision_at_10,0.018734643671769056,0.013815698604245426,0.02362738095238095,True
difference,item_knn_ranking,mf_ranking,precision_at_10,0.00020921696854330545,-0.004386447948063992,0.005404426342869299,False
difference,item_knn_ranking,most_popular,precision_at_10,-0.020252762335854727,-0.027051518418247964,-0.013091309130913095,True
difference,item_knn_ranking,user_mean,precision_at_10,0.02212125036963986,0.016962305986696236,0.027667567567567563,True
difference,item_mean,mf,precision_at_10,0.01673732352923443,0.012539880494073508,0.021413197729422895,True
difference,item_mean,mf_ranking,precision_at_10,-0.0017881031739913262,-0.00619486176853948,0.0022239185750636123,False
difference,item_mean,most_popular,precision_at_10,-0.02225008247838936,-0.029136441179036326,-0.015771597603871635,True
difference,item_mean,user_mean,precision_at_10,0.020123930227105225,0.014378708720330235,0.02568747215006902,True
difference,mf,mf_ranking,precision_at_10,-0.018525426703225753,-0.02340753968253968,-0.01409544950055494,True
difference,mf,most_popular,precision_at_10,-0.03898740600762379,-0.04552713988754054,-0.03270408320912033,True
difference,mf,user_mean,precision_at_10,0.003386606697870797,-0.0015352567818223985,0.007819598788667682,False
difference,mf_ranking,most_popular,precision_at_10,-0.020461979304398036,-0.026919807703579247,-0.013755088870860688,True
difference,mf_ranking,user_mean,precision_at_10,0.02191203340109655,0.01642881949082361,0.02789056169429097,True
difference,most_popular,user_mean,precision_at_10,0.04237401270549458,0.03639743890977444,0.04894261156866501,True
